source,datetime,location,report,status,tags
Neighborhood Watch - Ikeja GRA,2025-09-18 15:24:33,Secretariat Bus Stop,Neighborhood Watch - Ikeja GRA log: suspicious vehicle circling estate at Secretariat Bus Stop; crowd control and fire suppression.,Monitoring,"traffic,vigilante,assault,fire"
Neighborhood Watch - Oregun,2025-08-15 21:10:55,Mobolaji Bank Anthony Way,Alert from Neighborhood Watch - Oregun: attempted break-in reported near Mobolaji Bank Anthony Way; responders en route.,Resolved,"traffic,fire,road_closure"
Neighborhood Watch - Ikeja GRA,2025-08-03 15:35:32,Alausa,Neighborhood Watch - Ikeja GRA responded to road blockage from protest at Alausa. Situation: reported.,Reported,"flooding,traffic,assault,road_closure"
LASTMA,2025-08-30 10:17:08,Adekunle Fajuyi Way,Alert from LASTMA: collapsed kiosk reported near Adekunle Fajuyi Way; responders en route.,Reported,"burglary_attempt,road_closure"
LASEMA,2025-07-26 01:19:04,Secretariat Bus Stop,Alert from LASEMA: minor fire reported near Secretariat Bus Stop; responders en route.,Reported,"flooding,protest,assault,road_closure"
LASTMA,2025-08-08 18:55:31,Adeniyi Jones,LASTMA log: medical emergency at Adeniyi Jones; crowd control and police notification.,Monitoring,"flooding,vigilante,medical"
LASEMA,2025-07-26 05:28:40,Ipodo,Alert from LASEMA: flooded underpass reported near Ipodo; responders en route.,Monitoring,"fire,medical"
Neighborhood Watch - Allen,2025-09-06 05:37:07,Awolowo Way,Neighborhood Watch - Allen responded to traffic accident at Awolowo Way. Situation: dispatched.,Dispatched,"flooding,road_closure"
LASEMA,2025-07-26 08:05:53,Secretariat Bus Stop,LASEMA notes medical emergency around Secretariat Bus Stop. Area under dispatched.,Dispatched,"road_closure,suspicious_vehicle,medical,assault"
LASEMA,2025-08-03 07:46:43,Adekunle Fajuyi Way,Alert from LASEMA: flooded underpass reported near Adekunle Fajuyi Way; responders en route.,Reported,"traffic,assault,burglary_attempt,accident"
Neighborhood Watch - Oregun,2025-08-28 21:14:27,Allen Avenue,Alert from Neighborhood Watch - Oregun: flooded underpass reported near Allen Avenue; responders en route.,Resolved,"traffic,assault,road_closure"
LASEMA,2025-07-29 00:29:04,Allen Avenue,LASEMA responded to petty theft in market at Allen Avenue. Situation: unresolved.,Unresolved,"traffic,flooding,assault"
LASTMA,2025-09-16 20:33:27,Awolowo Way,LASTMA notes assault on motorist around Awolowo Way. Area under reported.,Reported,"flooding,burglary_attempt,road_closure"
LASTMA,2025-08-28 21:33:38,Computer Village,LASTMA responded to suspicious vehicle circling estate at Computer Village. Situation: dispatched.,Dispatched,"road_closure,accident"
Neighborhood Watch - Oregun,2025-09-20 15:02:15,Adeniyi Jones,Neighborhood Watch - Oregun notes assault on motorist around Adeniyi Jones. Area under unresolved.,Unresolved,"traffic,protest"
LASEMA,2025-09-09 14:45:55,Opebi,LASEMA responded to traffic accident at Opebi. Situation: resolved.,Resolved,"flooding,medical"
Neighborhood Watch - Oregun,2025-08-04 23:14:47,Ikeja Along,Neighborhood Watch - Oregun notes attempted break-in around Ikeja Along. Area under dispatched.,Dispatched,"medical,suspicious_vehicle,burglary_attempt"
LASEMA,2025-08-07 22:24:21,Secretariat Bus Stop,Alert from LASEMA: traffic accident reported near Secretariat Bus Stop; responders en route.,Monitoring,"traffic,protest,assault,road_closure"
LASEMA,2025-07-24 21:46:46,Opebi,LASEMA responded to petty theft in market at Opebi. Situation: monitoring.,Monitoring,"flooding,suspicious_vehicle,protest,fire"
LASEMA,2025-08-31 00:21:32,Opebi,LASEMA responded to attempted break-in at Opebi. Situation: ongoing.,Ongoing,"flooding,protest,fire"
Neighborhood Watch - Allen,2025-08-27 16:43:54,Awolowo Way,Alert from Neighborhood Watch - Allen: minor fire reported near Awolowo Way; responders en route.,Ongoing,"traffic,vigilante"
LASTMA,2025-09-06 23:17:01,Opebi,Alert from LASTMA: flooded underpass reported near Opebi; responders en route.,Ongoing,"vigilante,road_closure,accident"
Neighborhood Watch - Ikeja GRA,2025-09-12 01:47:55,Opebi,Neighborhood Watch - Ikeja GRA responded to petty theft in market at Opebi. Situation: reported.,Reported,"traffic,flooding"
LASTMA,2025-07-27 09:07:54,Ipodo,LASTMA notes minor fire around Ipodo. Area under monitoring.,Monitoring,"flooding,protest,road_closure,accident"
Neighborhood Watch - Ikeja GRA,2025-08-08 04:30:17,Opebi,Neighborhood Watch - Ikeja GRA notes minor fire around Opebi. Area under monitoring.,Monitoring,"traffic,suspicious_vehicle,vigilante,burglary_attempt"
Neighborhood Watch - Ikeja GRA,2025-08-01 03:01:13,Mobolaji Bank Anthony Way,Neighborhood Watch - Ikeja GRA notes petty theft in market around Mobolaji Bank Anthony Way. Area under ongoing.,Ongoing,"burglary_attempt,road_closure,accident"
Neighborhood Watch - Allen,2025-08-09 09:28:42,Mobolaji Bank Anthony Way,Neighborhood Watch - Allen responded to medical emergency at Mobolaji Bank Anthony Way. Situation: unresolved.,Unresolved,"flooding,road_closure"
LASEMA,2025-08-30 20:17:55,Adekunle Fajuyi Way,LASEMA log: assault on motorist at Adekunle Fajuyi Way; crowd control and police notification.,Resolved,"medical,suspicious_vehicle,burglary_attempt,assault"
Neighborhood Watch - Allen,2025-09-11 04:09:34,Lonlo,Neighborhood Watch - Allen responded to flooded underpass at Lonlo. Situation: dispatched.,Dispatched,"protest,fire,burglary_attempt,accident"
LASTMA,2025-07-26 14:00:05,Opebi,LASTMA notes road blockage from protest around Opebi. Area under dispatched.,Dispatched,"assault,accident"
Neighborhood Watch - Ikeja GRA,2025-07-23 05:59:30,Secretariat Bus Stop,Neighborhood Watch - Ikeja GRA notes hit-and-run around Secretariat Bus Stop. Area under dispatched.,Dispatched,"protest,burglary_attempt"
LASTMA,2025-08-27 12:48:15,Adekunle Fajuyi Way,Alert from LASTMA: attempted break-in reported near Adekunle Fajuyi Way; responders en route.,Reported,"suspicious_vehicle,burglary_attempt"
